Entity,Code,Year,Annual precipitation
Argentina,ARG,1999,849.5214
Argentina,ARG,2000,955.05334
Argentina,ARG,2001,936.0044
Argentina,ARG,2002,946.439
Argentina,ARG,2003,749.5623
Argentina,ARG,2004,734.1446
Argentina,ARG,2005,742.7508
Argentina,ARG,2006,756.0748
Argentina,ARG,2007,778.8111
Argentina,ARG,2008,683.702
Argentina,ARG,2009,675.8896
Argentina,ARG,2010,701.8448
Argentina,ARG,2011,678.87366
Argentina,ARG,2012,767.5073
Argentina,ARG,2013,621.6102
Argentina,ARG,2014,858.9137
Argentina,ARG,2015,817.439
Brazil,BRA,1999,1868.744
Brazil,BRA,2000,1918.2529
Brazil,BRA,2001,1763.4281
Brazil,BRA,2002,1713.9707
Brazil,BRA,2003,1708.2885
Brazil,BRA,2004,1805.6158
Brazil,BRA,2005,1774.7332
Brazil,BRA,2006,1810.0073
Brazil,BRA,2007,1674.5981
Brazil,BRA,2008,1896.5753
Brazil,BRA,2009,1963.3665
Brazil,BRA,2010,1684.8529
Brazil,BRA,2011,1905.6708
Brazil,BRA,2012,1639.0797
Brazil,BRA,2013,1873.0792
Brazil,BRA,2014,1757.6575
Brazil,BRA,2015,1608.9254
Costa Rica,CRI,1999,3927.8167
Costa Rica,CRI,2000,3384.6396
Costa Rica,CRI,2001,3357.2427
Costa Rica,CRI,2002,3173.8599
Costa Rica,CRI,2003,3509.2432
Costa Rica,CRI,2004,3671.4775
Costa Rica,CRI,2005,3456.619
Costa Rica,CRI,2006,3109.6838
Costa Rica,CRI,2007,3812.7102
Costa Rica,CRI,2008,4024.7937
Costa Rica,CRI,2009,3367.1704
Costa Rica,CRI,2010,4909.4116
Costa Rica,CRI,2011,3699.67
Costa Rica,CRI,2012,3080.131
Costa Rica,CRI,2013,3170.6519
Costa Rica,CRI,2014,3259.2747
Costa Rica,CRI,2015,2925.3284
Mexico,MEX,1999,786.4299
Mexico,MEX,2000,746.1179
Mexico,MEX,2001,747.3975
Mexico,MEX,2002,758.5047
Mexico,MEX,2003,781.96356
Mexico,MEX,2004,785.6747
Mexico,MEX,2005,772.576
Mexico,MEX,2006,847.7413
Mexico,MEX,2007,838.6962
Mexico,MEX,2008,909.8568
Mexico,MEX,2009,732.50433
Mexico,MEX,2010,952.24243
Mexico,MEX,2011,719.7797
Mexico,MEX,2012,758.83075
Mexico,MEX,2013,976.1554
Mexico,MEX,2014,876.6862
Mexico,MEX,2015,890.7116
Paraguay,PRY,1999,1291.161
Paraguay,PRY,2000,1485.4609
Paraguay,PRY,2001,1384.6953
Paraguay,PRY,2002,1218.0906
Paraguay,PRY,2003,1308.3821
Paraguay,PRY,2004,1179.6292
Paraguay,PRY,2005,1257.755
Paraguay,PRY,2006,1285.4685
Paraguay,PRY,2007,1267.252
Paraguay,PRY,2008,1297.0646
Paraguay,PRY,2009,1290.2402
Paraguay,PRY,2010,1248.7765
Paraguay,PRY,2011,1269.9791
Paraguay,PRY,2012,1219.7181
Paraguay,PRY,2013,1213.8608
Paraguay,PRY,2014,1529.6476
Paraguay,PRY,2015,1677.6428
